id,url,visit_time,from_visit,transition,segment_id
6498,2879,13394127834232948,0,805306368,0
6499,2874,13394127926284860,0,805306376,0
6500,2880,13394127931212392,0,805306370,21
6501,2881,13394127943073906,0,805306368,0
6502,2882,13394127951435586,0,805306368,0
6503,2883,13394127962522194,0,805306368,0
6504,2884,13394127965905734,0,805306368,0
6505,2885,13394127970939488,0,805306368,0
6506,1010,13394127997069186,0,805306376,0
6507,36,13394128362909259,0,805306368,0
6508,9,13394128778004195,0,805306370,20
6509,907,13394128786731388,0,268435458,13
6510,908,13394128786731388,6509,-1610612734,0
6511,5,13394128790483010,0,805306370,2
6512,52,13394128797058500,0,805306368,0
6513,2886,13394128800540952,6512,805306368,0
6514,5,13394128808707756,0,805306368,0
6515,5,13394128816523363,0,805306368,0
6516,9,13394128842560945,6513,805306368,0
6517,2887,13394128849662700,6516,805306368,0
6518,2888,13394128852149367,6517,805306368,0
6519,2887,13394128853521094,0,822083584,0
6520,9,13394128853589507,0,822083584,0
6521,2887,13394128854465991,6520,822083584,0
6522,2889,13394128855397929,6521,805306368,0
6523,2890,13394128858405063,6522,805306368,0
6524,2891,13394128866598933,6523,805306368,0
6525,2890,13394128867774244,0,822083584,0
6526,2889,13394128868513807,0,822083584,0
6527,2892,13394128872690008,6526,805306368,0
6528,2889,13394128876729865,0,822083584,0
6529,2887,13394128877756626,0,822083584,0
6530,9,13394128882035033,0,822083584,0
6531,2359,13394128884003572,6530,805306368,0
6532,9,13394128910186398,0,822083584,0
6533,908,13394129292327772,6510,1073741824,0
6534,907,13394129292327772,6533,-1610612736,0
6535,930,13394129300775615,0,805306368,0
6536,156,13394129469849198,0,805306376,0
6537,770,13394129471441316,0,805306376,0
6538,1267,13394129473115581,0,805306368,0
6539,133,13394129482212825,0,805306368,0
6540,7,13394129487003170,0,805306370,3
6541,43,13394129488149047,0,805306368,0
6542,2893,13394129501671162,0,805306368,0
6543,133,13394129545820163,0,805306376,0
6544,2894,13394129579514653,0,838860801,22
6545,30,13394129604003827,0,268435458,23
6546,2895,13394129604003827,6545,-2147483646,0
6547,2896,13394129604003827,6546,-1610612734,0
6548,133,13394129612793233,0,805306376,0
6549,2897,13394129660288501,6544,805306368,22
6550,2894,13394129665483505,0,855638017,0
6551,42,13394129702886991,0,805306368,0
6552,2898,13394129770247740,0,805306368,0
6553,898,13394129783157675,0,805306376,0
6554,1267,13394129785364188,0,805306368,0
6555,2899,13394129787379502,0,805306368,0
6556,1267,13394129805848864,0,822083584,0
6557,468,13394129813886235,0,805306368,0
6558,375,13394129820290510,0,805306368,0
6559,468,13394129837930184,0,822083584,0
6560,133,13394129839319529,0,805306368,0
6561,9,13394129841157471,6532,805306368,0
6562,86,13394129842814520,6561,805306368,0
6563,9,13394129854907377,0,822083584,0
6564,52,13394129855840689,6563,805306368,0
6565,2900,13394129857469033,6564,805306368,0
6566,52,13394129858114251,0,822083584,0
6567,2886,13394129859771983,6566,805306368,0
6568,52,13394129865653940,6513,822083584,0
6569,25,13394129868684303,0,805306370,1
6570,89,13394129879223769,6569,805306368,1
6571,2901,13394129882403086,6569,805306368,1
6572,36,13394129891351423,0,805306368,0
6573,2902,13394129948948555,0,805306368,0
6574,133,13394130283707613,0,805306376,0
6575,2903,13394130526214354,0,805306375,0
6576,2904,13394130535570495,0,805306368,0
6577,2905,13394130537361361,0,805306368,0
6578,2906,13394130537642439,0,805306368,0
6579,2907,13394130537895574,0,805306368,0
6580,2908,13394130538287903,0,805306368,0
6581,2909,13394130538444916,0,805306368,0
6582,2908,13394130538916668,0,805306368,0
6583,2907,13394130539224802,0,805306368,0
6584,2906,13394130540444246,0,805306368,0
6585,2905,13394130541611448,0,805306368,0
6586,2906,13394130542730351,0,805306368,0
6587,2906,13394130549623744,0,805306368,0
6588,2905,13394130549813761,0,805306368,0
6589,2904,13394130550024432,0,805306368,0
6590,2910,13394130550203347,0,805306368,0
6591,2904,13394130550575258,0,805306368,0
6592,2910,13394130550804613,0,805306368,0
6593,2911,13394130550969370,0,805306368,0
6594,2912,13394130551112659,0,805306368,0
6595,2913,13394130551263529,0,805306368,0
6596,2914,13394130551426004,0,805306368,0
6597,2915,13394130551580972,0,805306368,0
6598,2916,13394130551745147,0,805306368,0
6599,2917,13394130551929180,0,805306368,0
6600,2918,13394130552056895,0,805306368,0
6601,2919,13394130552234624,0,805306368,0
6602,2920,13394130552549279,0,805306368,0
6603,2921,13394130552803089,0,805306368,0
6604,2922,13394130552981962,0,805306368,0
6605,2923,13394130553162824,0,805306368,0
6606,2924,13394130553364457,0,805306368,0
6607,2925,13394130553550039,0,805306368,0
6608,2926,13394130553721814,0,805306368,0
6609,2927,13394130553865877,0,805306368,0
6610,2928,13394130554046302,0,805306368,0
6611,2929,13394130554215631,0,805306368,0
6612,2930,13394130554392335,0,805306368,0
6613,2931,13394130554572791,0,805306368,0
6614,2932,13394130554741091,0,805306368,0
6615,2933,13394130554942224,0,805306368,0
6616,2934,13394130555133888,0,805306368,0
6617,2935,13394130555315608,0,805306368,0
6618,2936,13394130555499194,0,805306368,0
6619,2937,13394130555664119,0,805306368,0
6620,2938,13394130561452464,6569,805306368,1
6621,2938,13394130561459785,6569,805306368,1
6622,2901,13394130633072359,6569,822083584,1
6623,2938,13394130633082623,6569,805306368,1
6624,36,13394130725143322,0,805306368,0
6625,36,13394130837970481,0,805306368,0
6626,2939,13394130837978281,0,805306368,0
6627,9,13394130849866211,6568,805306368,0
6628,2940,13394130866498199,6569,805306368,1
6629,2941,13394131391218342,6569,805306368,1
6630,2942,13394131872039257,0,805306368,0
6631,2943,13394131929448784,6569,805306368,1
6632,2944,13394131929823605,6569,805306368,1
6633,2945,13394131930442669,6569,805306368,1
6634,2946,13394131936584291,6569,805306368,1
6635,2947,13394131954409187,6569,805306368,1
6636,134,13394132135231719,0,805306368,0
6637,133,13394132349243351,6636,805306368,0
6638,36,13394132349932464,0,805306368,0
6639,2948,13394132362935299,0,805306368,0
6640,134,13394132375494753,6636,805306368,0
6641,1267,13394132382340816,6640,805306368,0
6642,133,13394132389610432,6640,805306368,0
6643,36,13394132393503657,0,805306368,0
6644,25,13394132504076420,0,805306370,1
6645,2949,13394132510281185,6644,805306368,1
6646,25,13394132514053271,0,822083586,0
6647,89,13394132515554965,6646,805306368,0
6648,2950,13394132518354413,6646,805306368,0
6649,2950,13394132518372009,6646,805306368,0
6650,2876,13394132540056228,0,805306368,0
6651,2951,13394132540063336,6650,805306368,0
6652,36,13394132544032911,0,805306368,0
6653,2952,13394133115891927,6646,805306368,0
6654,2953,13394133117549311,6646,805306368,0
6655,2954,13394133117556180,6646,805306368,0
